"osm_id","linestrings"
50337627,"LINESTRING(24.0093153 35.5068782996902,24.0099102 35.5054602996901,24.0099363 35.5054469996901,24.0099679 35.5053649996901)"
823257246,"LINESTRING(24.010376 35.50506839969,24.0103754 35.50507959969,24.0103654 35.50530289969,24.0103557 35.5054222996901,24.0103261 35.5055362996901,24.0100126 35.5062965996901,24.0098008 35.5066985996902,24.0097829 35.5067313996902,24.0097667 35.5067831996902,24.0097565 35.5068882996902)"
823249152,"LINESTRING(24.0100126 35.5062965996901,24.0105246 35.5064082996902,24.011058 35.5065016996902,24.011125 35.5065033996902,24.0111761 35.5064938996901)"
823197675,"LINESTRING(24.0078836 35.5068827996902,24.0083675 35.5071409996902,24.0084936 35.5072042996902)"
346362768,"LINESTRING(24.0085968 35.5065572996902,24.00855 35.5065994996902,24.0084963 35.5066912996902,24.0084561 35.5067829996902,24.0084266 35.5068877996902,24.0084051 35.5069794996902,24.008389 35.5070645996902,24.0083675 35.5071409996902)"
823622552,"LINESTRING(24.0084936 35.5072042996902,24.0086009 35.5071715996902,24.0089476 35.5070442996902)"
346362769,"LINESTRING(24.0084936 35.5072042996902,24.0084212 35.5072348996902,24.00833 35.5072916996902,24.008263 35.5073462996902,24.008204 35.5074117996902,24.0081673 35.5074691996902,24.0081422 35.5075082996902)"
823901642,"LINESTRING(24.0089751 35.5075354996902,24.0088784 35.5074408996902,24.0087667 35.5073564996902)"
346362767,"LINESTRING(24.008088 35.5079337996903,24.0082606 35.5080153996903,24.0082762 35.5080156996903,24.0082886 35.5080130996903,24.0083003 35.5080073996903,24.0083075 35.5079998996903,24.0083864 35.5079073996903,24.0084481 35.5078418996903,24.0085258 35.5077741996903,24.008609 35.5077108996903,24.0086725 35.5076712996902,24.0087002 35.5076540996903,24.0088182 35.5075951996902,24.0089094 35.5075580996902,24.0089751 35.5075354996902,24.0090113 35.5075230996902,24.0090395 35.5075163996902,24.0091266 35.5074936996902,24.0092455 35.5074688996902)"
823901027,"LINESTRING(24.0086725 35.5076712996902,24.0089462 35.5078543996903)"
823599155,"LINESTRING(24.0093557 35.5077404996903,24.0090395 35.5075163996902)"
823599641,"LINESTRING(24.0093557 35.5077404996903,24.0092455 35.5074688996902)"
823595426,"LINESTRING(24.0096473 35.5079758996903,24.010068 35.5075641996902)"
22997553,"LINESTRING(24.0102178 35.5073902996902,24.010068 35.5075641996902)"
963756578,"LINESTRING(24.012088 35.5023168996898,24.0120833 35.5023365996898,24.0120685 35.5023551996898,24.0119008 35.5024172996898,24.0115669 35.5025013996898)"
962948748,"LINESTRING(24.011868 35.5031633996899,24.011344 35.5034734996899,24.0107004 35.5038543996899,24.010217 35.5041404996899)"
963756579,"LINESTRING(24.011868 35.5031633996899,24.0121546 35.5030299996899,24.0123193 35.5028719996898,24.0123783 35.5028289996898,24.0124494 35.5027951996898,24.0125323 35.5027798996898,24.0131152 35.5027178996898)"
425635103,"LINESTRING(24.0119008 35.5024172996898,24.0121546 35.5030299996899,24.0122603 35.5033354996899,24.0124359 35.5038508996899,24.0125235 35.5041208996899)"
771614770,"LINESTRING(24.0133568 35.5032869996899,24.0130308 35.5033475996899,24.0128665 35.5033699996899,24.0128316 35.5033879996899,24.0128115 35.5034114996899,24.0128122 35.5034365996899,24.0128303 35.5035003996899,24.0129074 35.5037482996899,24.0130187 35.5040844996899)"
1071732261,"LINESTRING(24.0106962 35.5041439996899,24.0107004 35.5038543996899)"
1071732262,"LINESTRING(24.011564 35.50413649969,24.011344 35.5034734996899)"
22828125,"LINESTRING(24.0066043 35.50421539969,24.0075162 35.5041282996899,24.0078786 35.5040886996899,24.0081082 35.5040659996899,24.0083382 35.5040640996899,24.0084662 35.5040665996899,24.0088968 35.5040859996899,24.0092495 35.50411059969,24.0095244 35.5041164996899,24.0095441 35.50411539969,24.009837 35.5041258996899,24.0100532 35.5041336996899,24.0101242 35.5041362996899,24.010217 35.5041404996899,24.0104225 35.50414629969,24.0106962 35.5041439996899,24.0114197 35.5041377996899,24.011564 35.50413649969,24.0118809 35.5041337996899,24.0121689 35.5041277996899,24.0123237 35.50412429969,24.0125235 35.5041208996899,24.0127313 35.5041040996899,24.0130187 35.5040844996899,24.0131184 35.5040755996899,24.0136407 35.5039923996899,24.0138562 35.5039615996899,24.0141469 35.5039482996899,24.0143328 35.5039554996899,24.014499 35.5039626996899,24.0151733 35.5040012996899,24.0154071 35.5040157996899,24.0165558 35.50408689969)"
1071732260,"LINESTRING(24.0114197 35.5041377996899,24.0114116 35.50450339969)"
823256591,"LINESTRING(24.0104071 35.50468729969,24.0108363 35.50469959969)"
555353403,"LINESTRING(24.0137176 35.50486129969,24.0128622 35.50518239969)"
249206914,"LINESTRING(24.0133071 35.5031637996899,24.0136537 35.5031818996899,24.0145977 35.5032115996899,24.0151815 35.5032556996899)"
249206915,"LINESTRING(24.014499 35.5039626996899,24.0145977 35.5032115996899,24.0146821 35.5026899996898)"
249206929,"LINESTRING(24.0131288 35.5027538996898,24.0134949 35.5027338996898,24.0139959 35.5027113996898,24.0143691 35.5026860996898,24.0146821 35.5026899996898,24.015447 35.5028331996898,24.0168905 35.5028718996899)"
962948749,"LINESTRING(24.0167168 35.5035023996899,24.0155245 35.5034486996899,24.0155059 35.5034541996899,24.0154857 35.5034692996899,24.0154705 35.5035022996899,24.0154071 35.5040157996899)"
22877708,"LINESTRING(24.0164953 35.50455379969,24.0156016 35.50447409969,24.0142391 35.50440699969,24.0141725 35.50441949969,24.0141143 35.50445859969)"
22877707,"LINESTRING(24.0145521 35.50487409969,24.0146033 35.50484499969,24.0146681 35.50483909969,24.0164853 35.50493099969)"
95471696,"LINESTRING(24.0112694 35.5057499996901,24.0110469 35.5057260996901,24.0107169 35.5056368996901,24.0103261 35.5055362996901)"
823251084,"LINESTRING(24.0110469 35.5057260996901,24.0110751 35.50510789969)"
823077396,"LINESTRING(24.0103754 35.50507959969,24.0110751 35.50510789969,24.0118452 35.50514469969,24.0122614 35.50515839969,24.0128622 35.50518239969)"
50337635,"LINESTRING(24.0117829 35.5062297996901,24.0117963 35.5061631996901,24.0118472 35.5058924996901,24.0118566 35.5057854996901,24.011815 35.5056085996901,24.0118452 35.50514469969,24.0118809 35.5041337996899)"
95471673,"LINESTRING(24.0107169 35.5056368996901,24.0105301 35.5060486996901)"
50337626,"LINESTRING(24.0112147 35.5069000996902,24.0112081 35.5065855996902,24.0111761 35.5064938996901,24.0111343 35.5063987996902,24.0110933 35.5062669996901,24.0110554 35.5059927996901,24.0110469 35.5057260996901)"
823191507,"LINESTRING(24.0117963 35.5061631996901,24.0120752 35.5061773996901)"
50337630,"LINESTRING(24.0119923 35.5068982996902,24.0120256 35.5065004996901,24.0120484 35.5062832996901,24.0120685 35.5062112996901,24.0120752 35.5061773996901,24.012145 35.5059764996901,24.0121678 35.5059098996901,24.0121852 35.5058552996901,24.0122066 35.5057570996901,24.0122227 35.5056740996901,24.0122268 35.5055670996901,24.0122614 35.50515839969,24.0123237 35.50412429969)"
95471676,"LINESTRING(24.0122268 35.5055670996901,24.0128337 35.5055945996901)"
823077394,"LINESTRING(24.0128622 35.50518239969,24.0129936 35.50525009969,24.0130628 35.50528779969,24.0130929 35.50530489969,24.0131222 35.5053265996901,24.013138 35.50534429969,24.0132054 35.5054858996901,24.0132259 35.5055069996901,24.0132553 35.5055223996901,24.0133637 35.5055122996901,24.0134085 35.5055134996901,24.0134398 35.5055353996901,24.0135271 35.5057335996901,24.0135248 35.5057578996901,24.0134795 35.5057948996901,24.0134396 35.5058119996901,24.0132188 35.5058776996901,24.0132053 35.5059021996901)"
823192106,"LINESTRING(24.0118472 35.5058924996901,24.0121678 35.5059098996901)"
823498576,"LINESTRING(24.0112395 35.5069010996902,24.0112334 35.5073133996902)"
95471669,"LINESTRING(24.0120256 35.5065004996901,24.0116759 35.5064876996901)"
95471692,"LINESTRING(24.0112281 35.5077474996902,24.0119579 35.5077525996902)"
95471670,"LINESTRING(24.01272 35.5069740996902,24.0127458 35.5068205996902,24.0127312 35.5067978996902,24.0125228 35.5067773996902,24.0125069 35.5067546996902,24.0126248 35.5059711996901)"
50337636,"LINESTRING(24.015527 35.5069077996902,24.0152843 35.5069169996902,24.0140747 35.5069620996902,24.0137452 35.5069631996902,24.0135715 35.5069637996902,24.0131672 35.5069868996902,24.0128982 35.5069946996902,24.01272 35.5069740996902,24.0121172 35.5069046996902,24.0119923 35.5068982996902,24.0112395 35.5069010996902,24.0112147 35.5069000996902,24.0103124 35.5069073996902,24.0097565 35.5068882996902,24.0097584 35.5068922996902,24.0093153 35.5068782996902,24.0088589 35.5068869996902)"
50337632,"LINESTRING(24.0137088 35.50483099969,24.0137176 35.50486129969,24.0138785 35.5054153996901,24.0139941 35.5060980996901,24.0140262 35.5062143996901,24.0141176 35.5066002996902)"
95471687,"LINESTRING(24.0146882 35.50508949969,24.0143014 35.50523189969)"
95471681,"LINESTRING(24.0139941 35.5060980996901,24.0143651 35.5060528996901,24.014393 35.5060690996901,24.0144062 35.5061004996901,24.0144009 35.5061349996901,24.0143784 35.5061630996901,24.0143027 35.5061825996901,24.0140262 35.5062143996901)"
22877712,"LINESTRING(24.0157214 35.50528779969,24.0157105 35.5056529996901,24.0157227 35.5056900996901,24.0157668 35.5057061996901,24.0164688 35.5057616996901)"
22877659,"LINESTRING(24.0136407 35.5039923996899,24.0141143 35.50445859969,24.0145521 35.50487409969,24.0146331 35.50497009969,24.0146882 35.50508949969,24.0148616 35.5054087996901,24.0150825 35.5059168996901,24.015527 35.5069077996902,24.0157002 35.5070954996902,24.0158558 35.5072308996902,24.0160704 35.5073411996902,24.0162434 35.5074503996902,24.01636 35.5075343996902,24.0164016 35.5075998996902,24.0164216 35.5076636996903)"
95471690,"LINESTRING(24.0144062 35.5061004996901,24.0150825 35.5059168996901,24.0151761 35.5058966996901,24.0158257 35.5058686996901)"
22868520,"LINESTRING(24.0092455 35.5074688996902,24.0095486 35.5074382996902,24.0102178 35.5073902996902,24.0112334 35.5073133996902,24.012216 35.5072428996902,24.0124641 35.5072374996902,24.0126841 35.5072494996902,24.0129094 35.5072734996902,24.014048 35.5074071996902,24.015271 35.5075362996902,24.0157915 35.5076029996902,24.0164216 35.5076636996903,24.0176548 35.5078066996903,24.0188368 35.5079206996903,24.0198269 35.5080331996903,24.0206195 35.5081139996903,24.0211156 35.5080908996903,24.0219377 35.5080431996903)"
